file	discworld	Discworld	DISCWORLD	dw-	dw_	L-dw	other_dw_ident	total
pim/__init__.py	3	0	0	0	0	0	0	3
pim/editors/__init__.py	1	0	0	0	0	0	0	1
pim/editors/freeze_interpolation.py	3	0	0	0	0	0	0	3
pim/editors/inverse.py	1	0	0	0	0	0	0	1
pim/editors/nanda.py	3	0	0	0	0	0	0	3
pim/editors/nullspace.py	1	0	0	0	0	0	0	1
pim/editors/pinv.py	3	0	0	0	0	0	0	3
pim/environments/__init__.py	2	0	0	0	0	0	0	2
pim/environments/discworld/__init__.py	8	0	0	0	0	0	0	8
pim/environments/discworld/arms.py	9	0	0	3	0	1	0	13
pim/environments/discworld/bayes.py	6	0	0	5	0	0	0	11
pim/environments/discworld/bench.py	11	1	0	6	0	0	0	18
pim/environments/discworld/bigcorpus.py	6	0	0	231	0	0	0	237
pim/environments/discworld/blink.py	1	0	0	1	0	0	0	2
pim/environments/discworld/config.py	0	0	0	3	0	0	0	3
pim/environments/discworld/dataset.py	1	0	0	0	0	0	0	1
pim/environments/discworld/edits_dataset.py	1	0	0	0	0	0	0	1
pim/environments/discworld/grid_target.py	9	0	0	5	0	0	0	14
pim/environments/discworld/loading.py	2	0	0	0	0	0	0	2
pim/environments/discworld/observers.py	1	0	0	0	0	0	0	1
pim/environments/discworld/renderer.py	3	0	0	0	0	0	0	3
pim/environments/discworld/soft_render.py	3	0	0	2	0	0	0	5
pim/environments/discworld/token_bench.py	9	0	0	1	0	0	9	19
pim/environments/discworld/tokens.py	6	0	0	0	0	0	0	6
pim/environments/layout.py	19	2	0	2	0	0	7	30
pim/environments/othello/arms.py	7	1	0	0	0	0	0	8
pim/environments/othello/data.py	1	0	0	0	0	0	0	1
pim/environments/prediction.py	10	0	1	0	0	0	0	11
pim/figures/__init__.py	1	0	0	0	0	0	0	1
pim/figures/tables.py	31	0	0	5	1	0	10	47
pim/figures/theme.py	1	0	0	0	0	0	0	1
pim/figures/waterfall.py	1	0	0	0	0	0	0	1
pim/metrics/__init__.py	5	0	0	0	0	0	0	5
pim/metrics/decodability.py	3	0	0	0	0	0	0	3
pim/metrics/edit_index.py	3	0	0	0	0	0	0	3
pim/metrics/prediction.py	3	0	0	0	0	0	0	3
pim/metrics/selection.py	1	0	0	1	0	0	0	2
pim/metrics/set_editability.py	5	0	0	0	0	0	0	5
pim/metrics/zone_editability.py	8	0	0	1	0	0	0	9
